id,property,amenity
95fd65db-9379-4f60-ab78-07e119dd6b71,88 Bromsgrove House,Pool Table
98cd6938-0cff-4458-91fd-ddb0d4e4d8d0,The Port On The Square,Courtyard
9b0f62f2-4411-418b-94f5-07817b35e95a,The Port On The Square,Games Hub
9e86b5bd-c088-4a82-84ca-049af2eff614,Hollis Wharf,Pool Table
9f47fb17-3efb-4adb-8030-96bdb54a0180,Hollis Wharf,Rooftop Terrace
a39444ca-6d2e-4b67-b17f-cd005a077966,88 Bromsgrove House,Games Hub
a9973b83-144e-4942-97a9-124d2e69e174,The Port on The Square,Communal Lounge
aa3afa36-ebb4-410e-bf1c-fb7d897b0000,Hollis Wharf,1Gbps* Wired Internet
ab5ccb18-3338-4b8c-940f-f762ba4f9b10,88 Bromsgrove House,Air Conditioning
ad87478f-691b-486e-a0b1-c48988e823ae,The Port On The Square,Table Tennis / Ping Pong
adbf7af9-87a2-4822-8b7e-081be6613ee9,800 Bristol Road,Dinner Party
b00fee0a-abe9-47ba-9d71-0904ffb3a594,The Edge,All Utility Bills Included
b076b0fe-4031-4ee5-a4f2-6876020f0a05,Hollis Wharf,Up To 250Mbps* Internet
b0dcb4a3-f307-4a8e-970b-27aaee51620f,The Port on The Square,Co-Working Space
b3731dcb-b771-49f2-be4b-3426a943a230,Ryan Hall,Cafe
b4fbe633-7645-43b1-99cf-3b75bb6075ff,The Port on The Square,Bed Storage
bb294821-6d2f-4972-b91a-37b11bcdc038,The Port on The Square,Vending Machine
bb400b12-8b1b-4d2b-8cfe-f2ac7d21f4ba,The Port on The Square,Personal Trainer
bc0f48af-a46a-49fe-b6d6-551f6c20b15e,800 Bristol Road,Outdoor Area
bc5d5372-c497-40c5-a33c-8da711676131,The Edge,Study Space
bf18b269-ee2f-4675-be71-9a1f94fe3939,Hollis Wharf,Laundry Room
c0bb65b8-dcb2-4780-8d0a-84d2f798fbdb,The Port On The Square,Cinema Lounge
c0bde2c6-b6f7-42fa-8138-8699022d6cd6,The Port On The Square,Bed Storage
c0f95d75-5f76-4190-8f48-9ac1e94b902d,The Port on The Square,Meeting Room
c12bb2eb-03f6-49bf-ace1-f99da2da7630,The Port on The Square,Pool Table
c2ac0566-4709-4eb7-88c9-83f34557522e,88 Bromsgrove House,Communal Lounge
